#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
-10.0,1,1.4741
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.475245
-10.0,1,1.489756
-10.0,1,1.492424
-10.0,1,1.492424
-10.0,1,1.492424
-10.0,1,1.492424
-10.0,1,1.492424
-10.0,1,1.492424
10.0,1,1.492424
-10.0,1,1.505434
3.0,1,1.505434
-10.0,1,1.505434
-10.0,1,1.505434
-10.0,1,1.505434
-10.0,1,1.505434
-10.0,1,1.505434
-10.0,1,1.505434
3.0,1,1.521286
-10.0,1,1.524297
3.0,1,1.526301
-10.0,1,1.528306
-10.0,1,1.53031
-10.0,1,1.53031
-10.0,1,1.53031
10.0,1,1.538082
10.0,1,1.540087
-10.0,1,1.542092
-10.0,1,1.542092
-10.0,1,1.542092
-10.0,1,1.542092
3.0,1,1.542092
3.0,1,1.55263
10.0,1,1.554134
-10.0,1,1.554134
-10.0,1,1.554134
-10.0,1,1.554134
-10.0,1,1.554134
-10.0,1,1.554134
-10.0,1,1.554134
10.0,1,1.554134
10.0,1,1.568339
-10.0,1,1.571915
-10.0,1,1.573921
-10.0,1,1.576635
10.0,1,1.576635
-10.0,1,1.576635
-10.0,1,1.584144
-10.0,1,1.587592
-10.0,1,1.587592
-10.0,1,1.587592
10.0,1,1.587592
-10.0,1,1.587592
10.0,1,1.587592
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.600187
-10.0,1,1.615981
-10.0,1,1.615981
-10.0,1,1.615981
-10.0,1,1.615981
-10.0,1,1.622524
-10.0,1,1.622524
10.0,1,1.622524
-10.0,1,1.622524
3.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.631979
-10.0,1,1.647714
-10.0,1,1.647714
-10.0,1,1.649192
-10.0,1,1.649192
-10.0,1,1.649192
-10.0,1,1.649192
10.0,1,1.649192
-10.0,1,1.649192
-10.0,1,1.663704
-10.0,1,1.665811
-10.0,1,1.665811
-10.0,1,1.665811
-10.0,1,1.665811
-10.0,1,1.665811
10.0,1,1.665811
-10.0,1,1.665811
10.0,1,1.665811
-10.0,1,1.680316
-10.0,1,1.680316
-10.0,1,1.680316
-10.0,1,1.680316
-10.0,1,1.680316
-10.0,1,1.680316
10.0,1,1.680316
-10.0,1,1.680316
3.0,1,1.680316
-10.0,1,1.696059
-10.0,1,1.701026
-10.0,1,1.703031
3.0,1,1.705122
-10.0,1,1.707127
-10.0,1,1.707127
-10.0,1,1.711136
-10.0,1,1.712646
10.0,1,1.712646
-10.0,1,1.712646
-10.0,1,1.712646
-10.0,1,1.712646
-10.0,1,1.712646
-10.0,1,1.722475
-10.0,1,1.722475
-10.0,1,1.72616
-10.0,1,1.728984
-10.0,1,1.728984
-10.0,1,1.728984
-10.0,1,1.734816
-10.0,1,1.734816
3.0,1,1.734816
-10.0,1,1.734816
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.743917
-10.0,1,1.759636
-10.0,1,1.760741
-10.0,1,1.763133
-10.0,1,1.763133
-10.0,1,1.763133
-10.0,1,1.763133
-10.0,1,1.763133
-10.0,1,1.763133
-10.0,1,1.775508
-10.0,1,1.777371
10.0,1,1.777371
-10.0,1,1.777371
-10.0,1,1.777371
-10.0,1,1.787818
10.0,1,1.787818
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.791248
-10.0,1,1.806954
-10.0,1,1.813069
10.0,1,1.814235
-10.0,1,1.814235
-10.0,1,1.818193
-10.0,1,1.818193
-10.0,1,1.82273
-10.0,1,1.82273
-10.0,1,1.82273
-10.0,1,1.82273
-10.0,1,1.82273
-10.0,1,1.82273
-10.0,1,1.838484
-10.0,1,1.838484
-10.0,1,1.838484
-10.0,1,1.838484
-10.0,1,1.845818
-10.0,1,1.845818
-10.0,1,1.845818
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.854227
-10.0,1,1.870317
-10.0,1,1.870317
-10.0,1,1.870317
-10.0,1,1.870317
-10.0,1,1.875372
-10.0,1,1.875372
-10.0,1,1.875372
-10.0,1,1.875372
-10.0,1,1.875372
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.886379
-10.0,1,1.900202
-10.0,1,1.900202
-10.0,1,1.902238
-10.0,1,1.902238
-10.0,1,1.902238
-10.0,1,1.908349
3.0,1,1.910353
-10.0,1,1.912358
-10.0,1,1.913879
-10.0,1,1.913879
10.0,1,1.918145
-10.0,1,1.923952
10.0,1,1.923952
-10.0,1,1.923952
-10.0,1,1.923952
-10.0,1,1.933801
3.0,1,1.934979
-10.0,1,1.936984
-10.0,1,1.938988
3.0,1,1.940993
10.0,1,1.940993
-10.0,1,1.940993
-10.0,1,1.940993
-10.0,1,1.949598
-10.0,1,1.953589
-10.0,1,1.953589
-10.0,1,1.955594
-10.0,1,1.957599
-10.0,1,1.957599
-10.0,1,1.957599
-10.0,1,1.957599
-10.0,1,1.957599
-10.0,1,1.965618
-10.0,1,1.965618
-10.0,1,1.965618
-10.0,1,1.965618
10.0,1,1.965618
-10.0,1,1.965618
-10.0,1,1.965618
-10.0,1,1.98138
-10.0,1,1.98138
-10.0,1,1.98138
10.0,1,1.98138
-10.0,1,1.98138
-10.0,1,1.98138
-10.0,1,1.98138
3.0,1,1.997311
-10.0,1,2.002861
-10.0,1,2.002861
-10.0,1,2.004863
10.0,1,2.004863
-10.0,1,2.004863
-10.0,1,2.0134
-10.0,1,2.0134
10.0,1,2.0134
10.0,1,2.023176
-10.0,1,2.023176
-10.0,1,2.023176
10.0,1,2.023176
-10.0,1,2.029461
3.0,1,2.035648
10.0,1,2.037655
-10.0,1,2.039661
-10.0,1,2.041666
-10.0,1,2.045419
-10.0,1,2.045419
-10.0,1,2.047425
-10.0,1,2.049944
-10.0,1,2.05195
-10.0,1,2.054844
-10.0,1,2.054844
-10.0,1,2.054844
10.0,1,2.059482
10.0,1,2.061223
10.0,1,2.061223
10.0,1,2.069305
-10.0,1,2.071313
-10.0,1,2.071313
-10.0,1,2.071313
3.0,1,2.076867
-10.0,1,2.077942
-10.0,1,2.077942
-10.0,1,2.081355
-10.0,1,2.083362
-10.0,1,2.085367
-10.0,1,2.087372
-10.0,1,2.089376
-10.0,1,2.092887
-10.0,1,2.094892
-10.0,1,2.096898
-10.0,1,2.096898
-10.0,1,2.100909
3.0,1,2.102915
-10.0,1,2.102915
10.0,1,2.106926
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
10.0,1,2.108672
-10.0,1,2.108672
3.0,1,2.108672
-10.0,1,2.12326
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.14047
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
