#{"t_start": 1781094110.7139392, "env_id": "None"}
r,l,t
-10.0,1,1.753252
-10.0,1,1.767921
-10.0,1,1.770157
-10.0,1,1.770157
-10.0,1,1.770157
-10.0,1,1.770157
10.0,1,1.770157
-10.0,1,1.770157
-10.0,1,1.781995
-10.0,1,1.783742
-10.0,1,1.78482
-10.0,1,1.78482
3.0,1,1.788014
-10.0,1,1.788014
10.0,1,1.788014
-10.0,1,1.793013
-10.0,1,1.79529
-10.0,1,1.79529
-10.0,1,1.799693
-10.0,1,1.800889
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.803291
-10.0,1,1.81564
-10.0,1,1.81564
10.0,1,1.81564
-10.0,1,1.821415
10.0,1,1.821415
-10.0,1,1.821415
-10.0,1,1.821415
-10.0,1,1.821415
-10.0,1,1.821415
-10.0,1,1.831358
-10.0,1,1.831358
-10.0,1,1.833365
-10.0,1,1.833365
-10.0,1,1.833365
10.0,1,1.833365
-10.0,1,1.8418
-10.0,1,1.8418
-10.0,1,1.8418
-10.0,1,1.8418
-10.0,1,1.847051
10.0,1,1.850241
-10.0,1,1.850241
-10.0,1,1.850241
-10.0,1,1.850241
-10.0,1,1.854875
-10.0,1,1.854875
-10.0,1,1.854875
-10.0,1,1.854875
-10.0,1,1.860731
-10.0,1,1.860731
-10.0,1,1.862888
-10.0,1,1.862888
10.0,1,1.862888
-10.0,1,1.862888
-10.0,1,1.862888
-10.0,1,1.862888
-10.0,1,1.862888
-10.0,1,1.862888
-10.0,1,1.878625
-10.0,1,1.881603
-10.0,1,1.882981
-10.0,1,1.882981
-10.0,1,1.882981
-10.0,1,1.887414
-10.0,1,1.887414
-10.0,1,1.887414
-10.0,1,1.887414
10.0,1,1.894514
-10.0,1,1.895584
-10.0,1,1.895584
-10.0,1,1.895584
10.0,1,1.895584
-10.0,1,1.895584
-10.0,1,1.895584
-10.0,1,1.895584
-10.0,1,1.895584
-10.0,1,1.908709
-10.0,1,1.910458
-10.0,1,1.910458
-10.0,1,1.912463
10.0,1,1.914468
-10.0,1,1.914468
-10.0,1,1.914468
10.0,1,1.914468
-10.0,1,1.914468
-10.0,1,1.914468
-10.0,1,1.922483
-10.0,1,1.924711
-10.0,1,1.926458
-10.0,1,1.927522
3.0,1,1.928957
10.0,1,1.931731
-10.0,1,1.933238
3.0,1,1.935242
-10.0,1,1.937247
-10.0,1,1.93926
-10.0,1,1.942539
-10.0,1,1.943596
-10.0,1,1.943596
10.0,1,1.943596
-10.0,1,1.943596
-10.0,1,1.943596
-10.0,1,1.943596
-10.0,1,1.943596
-10.0,1,1.943596
10.0,1,1.943596
10.0,1,1.958357
-10.0,1,1.960366
-10.0,1,1.962373
-10.0,1,1.962373
-10.0,1,1.964396
-10.0,1,1.964396
-10.0,1,1.964396
-10.0,1,1.964396
10.0,1,1.969897
-10.0,1,1.971904
10.0,1,1.974324
10.0,1,1.974324
-10.0,1,1.974324
-10.0,1,1.982926
-10.0,1,1.982926
-10.0,1,1.984933
-10.0,1,1.984933
-10.0,1,1.986938
-10.0,1,1.990541
-10.0,1,1.990541
-10.0,1,1.992547
-10.0,1,1.995263
-10.0,1,1.995263
-10.0,1,1.995263
10.0,1,1.995263
3.0,1,1.995263
-10.0,1,1.995263
-10.0,1,2.00572
-10.0,1,2.007321
-10.0,1,2.007321
-10.0,1,2.007321
-10.0,1,2.007321
-10.0,1,2.007321
-10.0,1,2.017878
3.0,1,2.017878
-10.0,1,2.019639
-10.0,1,2.019639
-10.0,1,2.022491
-10.0,1,2.022491
-10.0,1,2.025456
-10.0,1,2.025456
-10.0,1,2.025456
10.0,1,2.031554
-10.0,1,2.033066
-10.0,1,2.033066
-10.0,1,2.033066
-10.0,1,2.037084
-10.0,1,2.038091
-10.0,1,2.038091
-10.0,1,2.038091
-10.0,1,2.038091
10.0,1,2.038091
-10.0,1,2.038091
-10.0,1,2.048845
-10.0,1,2.050333
10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.052862
-10.0,1,2.06886
-10.0,1,2.06886
-10.0,1,2.06886
-10.0,1,2.06886
-10.0,1,2.077168
-10.0,1,2.077168
-10.0,1,2.077168
-10.0,1,2.077168
-10.0,1,2.077168
10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.084709
-10.0,1,2.100508
-10.0,1,2.100508
10.0,1,2.100508
10.0,1,2.100508
-10.0,1,2.107957
-10.0,1,2.10899
-10.0,1,2.110996
-10.0,1,2.110996
-10.0,1,2.113002
10.0,1,2.116211
-10.0,1,2.118207
-10.0,1,2.118207
10.0,1,2.118207
10.0,1,2.118207
-10.0,1,2.118207
-10.0,1,2.118207
3.0,1,2.130927
-10.0,1,2.133467
10.0,1,2.133467
-10.0,1,2.13623
-10.0,1,2.138297
-10.0,1,2.138297
-10.0,1,2.138297
-10.0,1,2.138297
-10.0,1,2.138297
-10.0,1,2.144531
-10.0,1,2.144531
-10.0,1,2.147043
-10.0,1,2.150053
-10.0,1,2.150559
10.0,1,2.150559
-10.0,1,2.150559
-10.0,1,2.150559
10.0,1,2.150559
-10.0,1,2.158866
-10.0,1,2.158866
-10.0,1,2.163698
10.0,1,2.165148
-10.0,1,2.165148
10.0,1,2.165148
-10.0,1,2.170422
10.0,1,2.170422
-10.0,1,2.170422
-10.0,1,2.170422
-10.0,1,2.177253
-10.0,1,2.177253
-10.0,1,2.179468
-10.0,1,2.179468
-10.0,1,2.179468
-10.0,1,2.185163
-10.0,1,2.185163
10.0,1,2.187168
-10.0,1,2.189172
-10.0,1,2.19084
-10.0,1,2.19084
-10.0,1,2.19084
-10.0,1,2.194927
-10.0,1,2.194927
-10.0,1,2.194927
-10.0,1,2.200627
-10.0,1,2.200627
-10.0,1,2.200627
-10.0,1,2.206046
-10.0,1,2.206046
-10.0,1,2.206046
-10.0,1,2.211899
-10.0,1,2.211899
-10.0,1,2.211899
-10.0,1,2.211899
-10.0,1,2.217367
-10.0,1,2.217367
-10.0,1,2.217367
-10.0,1,2.223202
10.0,1,2.223202
-10.0,1,2.223202
-10.0,1,2.22671
-10.0,1,2.22941
-10.0,1,2.22941
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
10.0,1,2.244218
10.0,1,2.246222
3.0,1,2.248228
-10.0,1,2.248228
-10.0,1,2.250232
-10.0,1,2.254356
-10.0,1,2.256361
-10.0,1,2.256361
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.265804
-10.0,1,2.267024
-10.0,1,2.267024
-10.0,1,2.269029
-10.0,1,2.271034
10.0,1,2.274158
10.0,1,2.274158
-10.0,1,2.274158
-10.0,1,2.274158
10.0,1,2.274158
-10.0,1,2.282107
10.0,1,2.282107
-10.0,1,2.282107
-10.0,1,2.282107
10.0,1,2.282107
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.300359
-10.0,1,2.302364
-10.0,1,2.304369
-10.0,1,2.305873
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
10.0,1,2.310562
-10.0,1,2.310562
3.0,1,2.3214
-10.0,1,2.322884
